B38,D1138 - N1738 - N1938 - T1338 - T1438 - N1838 - N1638 - D1238,Downer/CRRC Changchun Railway Vehicles (China),Auburn
B39,D1139 - N1739 - N1939 - T1339 - T1439 - N1839 - N1639 - D1239,Downer/CRRC Changchun Railway Vehicles (China),Auburn
B40,D1140 - N1740 - N1940 - T1340 - T1440 - N1840 - N1640 - D1240,Downer/CRRC Changchun Railway Vehicles (China),Auburn
B41,D1141 - N1741 - N1941 - T1341 - T1441 - N1841 - N1641 - D1241,Downer/CRRC Changchun Railway Vehicles (China),Auburn
A1,D6301 - N5301 - N5501 - T6501 - T6601 - N5601 - N5401 - D6401,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A3,D6303 - N5303 - N5503 - T6503 - T6603 - N5603 - N5403 - D6403,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn,First A Set to enter service
A4,D6304 - N5304 - N5504 - T6504 - T6604 - N5604 - N5404 - D6404,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A5,D6305 - N5305 - N5505 - T6505 - T6605 - N5605 - N5405 - D6405,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A6,D6306 - N5306 - N5506 - T6506 - T6606 - N5606 - N5406 - D6406,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A7,D6307 - N5307 - N5507 - T6507 - T6607 - N5607 - N5407 - D6407,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A8,D6308 - N5308 - N5508 - T6508 - T6608 - N5608 - N5408 - D6408,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn,Set involved in explosion of traction inverter at Burwood in March 2017
A9,D6309 - N5309 - N5509 - T6509 - T6609 - N5609 - N5409 - D6409,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A10,D6310 - N5310 - N5510 - T6510 - T6610 - N5610 - N5410 - D6410,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A11,D6311 - N5311 - N5511 - T6511 - T6611 - N5611 - N5411 - D6411,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A12,D6312 - N5312 - N5512 - T6512 - T6612 - N5612 - N5412 - D6412,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn,Set involved in 2025 Clarendon derailment
A13,D6813 - N5313 - N5513 - T6513 - T6613 - N5613 - N5413 - D6413,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn,"First A Set to use Sydney Trains ""hop"" logo"
A14,D6314 - N5314 - N5514 - T6514 - T6614 - N5614 - N5414 - D6414,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A15,D6315 - N5315 - N5515 - T6515 - T6615 - N5615 - N5415 - D6342,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn,D6342 replacing D6415 due to January 2024 level crossing colission with a trailer at Vineyard.
